sentiment,text,clean_text
positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",net sales totaled eur  mn  up from eur  mn in the corresponding period in
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",nokia also noted the average selling price of handsets declined during the period  though its mobile phone profit margin rose to more than  percent from  percent in the yearago quarter
positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,operating profit increased by   to eur  mn from eur  mn
positive,Operating profit margin increased from 11.2 % to 11.7 % .,operating profit margin increased from   to
positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,operating profit rose to eur  mn from eur  mn in the corresponding period in
positive,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,operating profit rose to eur mn from eur  mn in the fourth quarter of
positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",operating profit was eur  mn  up from eur  mn
positive,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",ramirent s net sales in the second quarterended june  were euro  million about us   million  a percent increase compared with euro  million for thesecond quarter last year
positive,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",revenue grew by  percent to  xac  million   million  from  xac  million
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,ruukki announced that it has signed an agreement with aker solutions of norway to supply  suction anchors in september  from its kalajoki unit in finland
positive,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",ruukki s delivery volumes and selling prices showed favourable development and the company s comparable net sales grew by   yearonyear to eurm  ceo sakari tamminen said
positive,Sanoma Magazines ' net sales are estimated to grow in 2006 .,sanoma magazines  net sales are estimated to grow in
positive,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,the bank forecasts finland s gdp will grow by   in  and in
